Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,30625.000000,32600.000000,30100.000000,31400.000000,31397.769531,18676500
2022-03-01,31700.000000,33575.000000,30300.000000,31600.000000,31597.753906,19910100
2022-04-01,31575.000000,32225.000000,30400.000000,30700.000000,30697.818359,17359600
2022-05-01,30700.000000,31800.000000,29850.000000,31500.000000,31497.761719,20011000
2022-06-01,31500.000000,32125.000000,30400.000000,31175.000000,31172.785156,22571700
2022-07-01,31400.000000,31950.000000,27500.000000,27850.000000,27848.021484,34179100
2022-08-01,27850.000000,27850.000000,23725.000000,23725.000000,23725.000000,29368700
2022-09-01,23725.000000,25125.000000,22100.000000,22925.000000,22925.000000,24952800
2022-10-01,22925.000000,25750.000000,22075.000000,24100.000000,24100.000000,24637600
2022-11-01,23900.000000,23900.000000,19950.000000,19950.000000,19950.000000,53069300
2022-12-01,19950.000000,19950.000000,18000.000000,18000.000000,18000.000000,45041300
2023-01-01,18000.000000,23500.000000,16500.000000,23000.000000,23000.000000,41996700
2023-02-01,22900.000000,27450.000000,22900.000000,25000.000000,25000.000000,54952200
2023-03-01,25000.000000,27100.000000,23125.000000,26000.000000,26000.000000,39882600
2023-04-01,26000.000000,29350.000000,23800.000000,28450.000000,28450.000000,30263400
2023-05-01,28475.000000,30050.000000,27000.000000,27000.000000,27000.000000,53852800
2023-06-01,27250.000000,28900.000000,27225.000000,28000.000000,28000.000000,15604700
2023-06-14,0.000000,0.000000,0.000000,27600.000000,27600.000000,0
